entry_date,entry,mode,dir,exit_date,exit,pnl_usd,return_pct,bars_held,tp1,reason,asset
2025-03-24 12:00:00,2088.098184,SHORT_RIP,SHORT,2025-03-26 12:00:00,2031.2024523789128,157.8811,2.7248,12,False,rip_target,ETH
2025-05-08 00:00:00,1902.6208799999997,STRONG_BULL_TREND,LONG,2025-05-18 20:00:00,2322.9801404692166,1172.7549,18.7156,65,True,be_stop,ETH
2025-05-22 00:00:00,2631.3433919999998,STRONG_BULL_TREND,LONG,2025-06-01 00:00:00,2511.28936,-212.6678,-4.5625,60,False,risk_cap,ETH
2025-06-04 12:00:00,2670.0643439999994,STRONG_BULL_TREND,LONG,2025-06-05 20:00:00,2412.0787920000002,-693.5759,-9.6621,8,False,risk_cap,ETH
2025-06-10 08:00:00,2775.8589119999997,STRONG_BULL_TREND,LONG,2025-06-13 00:00:00,2512.3185359999998,-618.9509,-9.494,16,False,risk_cap,ETH
2025-06-26 00:00:00,2490.771024,TREND,LONG,2025-06-26 20:00:00,2414.027232,-173.1347,-3.0811,5,False,ema_exit,ETH
2025-07-09 12:00:00,2658.9554639999997,TREND,LONG,2025-07-23 16:00:00,3566.395897492166,1460.3241,26.7293,85,True,be_stop,ETH
2025-08-07 08:00:00,3830.0615999999995,STRONG_BULL_TREND,LONG,2025-08-18 04:00:00,4236.940729278006,733.0948,10.247,65,True,be_stop,ETH
2025-08-22 12:00:00,4619.772864,STRONG_BULL_TREND,LONG,2025-08-29 04:00:00,4377.525175999999,-411.6656,-5.2437,40,False,risk_cap,ETH
2025-09-12 16:00:00,4660.905744,TREND,LONG,2025-09-15 08:00:00,4527.025479999999,-202.9919,-2.8724,16,False,risk_cap,ETH
2025-10-01 08:00:00,4301.638559999999,TREND,LONG,2025-10-07 16:00:00,4466.508708605505,327.6933,4.76,38,True,be_stop,ETH
2025-10-26 20:00:00,4161.786768,TREND,LONG,2025-10-28 20:00:00,3976.01664,-320.4582,-4.4637,12,False,risk_cap,ETH
2026-01-02 12:00:00,3089.1093119999996,TREND,LONG,2026-01-07 12:00:00,3143.4664052030103,213.2097,3.0941,30,True,be_stop,ETH
2026-01-13 20:00:00,3328.4806559999997,STRONG_BULL_TREND,LONG,2026-01-19 20:00:00,3182.099164830396,-328.7895,-4.3978,36,False,risk_cap,ETH
2026-02-25 20:00:00,2055.834016,SHORT_RIP,SHORT,2026-02-27 08:00:00,1965.5472558867618,298.0562,4.3917,9,False,rip_target,ETH
2026-03-16 00:00:00,2237.458536,TREND,LONG,2026-03-18 12:00:00,2185.9098719999997,-162.5398,-2.3039,15,False,risk_cap,ETH
2026-04-01 04:00:00,2132.7048,TREND,LONG,2026-04-02 00:00:00,2054.684936,-252.7388,-3.6583,5,False,ema_exit,ETH
2026-04-07 20:00:00,2241.802008,TREND,LONG,2026-04-12 08:00:00,2195.8965278526844,-136.8123,-2.0477,27,False,risk_cap,ETH
2026-04-13 20:00:00,2371.355568,STRONG_BULL_TREND,LONG,2026-04-19 20:00:00,2255.695950902861,-337.6337,-4.8774,36,False,risk_cap,ETH
2026-05-04 00:00:00,2387.0280959999996,STRONG_BULL_TREND,LONG,2026-05-08 00:00:00,2272.1235150724906,-317.7872,-4.8137,24,False,risk_cap,ETH
2026-06-15 16:00:00,1820.4324880000001,SHORT_RIP,SHORT,2026-06-16 04:00:00,1765.2972609266867,180.7595,3.0287,3,False,rip_target,ETH
2026-07-03 08:00:00,1743.934032,TREND,LONG,2026-07-08 08:00:00,1725.9799751281523,-63.1188,-1.0295,30,False,risk_cap,ETH
2026-07-14 12:00:00,1876.7201759999998,STRONG_BULL_TREND,LONG,2026-07-27 20:00:00,1891.015976,133.744,2.086,80,True,be_stop,ETH
2026-08-05 16:00:00,1918.563624,STRONG_BULL_TREND,LONG,2026-08-11 12:00:00,1861.249808,-195.3304,-2.9873,35,False,ema_exit,ETH
2026-08-19 12:00:00,2087.4986639999997,STRONG_BULL_TREND,LONG,2026-08-24 20:00:00,2468.963248,987.5601,15.5446,32,True,end_of_test,ETH
2020-11-07 00:00:00,2.1414117599999996,TREND,LONG,2020-11-11 20:00:00,1.9880402300822004,-64.4595,-7.1622,29,False,risk_cap,SOL
2020-11-21 12:00:00,2.3969159999999996,STRONG_BULL_TREND,LONG,2020-11-26 00:00:00,1.9344511999999998,-171.4794,-19.2942,27,False,ema_exit,SOL
2020-12-29 16:00:00,1.6528211999999998,TREND,LONG,2020-12-31 12:00:00,1.4303389241593625,-92.5636,-13.4608,11,False,risk_cap,SOL
2021-01-02 16:00:00,1.9191340799999999,TREND,LONG,2021-01-15 12:00:00,3.09811952,389.903,64.5163,77,True,ema_exit,SOL
2021-01-25 16:00:00,3.8961143999999996,STRONG_BULL_TREND,LONG,2021-02-28 12:00:00,11.51097449339706,1445.5136,143.3571,203,True,be_stop,SOL
2021-03-09 12:00:00,14.679734399999997,STRONG_BULL_TREND,LONG,2021-03-17 04:00:00,13.363423795192153,-213.5518,-8.9669,46,False,risk_cap,SOL
